1788085326517736043,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 364.09 W, 38, 1100.00 W
1788085326743263239,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 382.20 W, 38, 1100.00 W
1788085326970055854,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 380.61 W, 39, 1100.00 W
1788085327195783188,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 380.76 W, 39, 1100.00 W
1788085327422623164,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 380.88 W, 39, 1100.00 W
1788085327649446339,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 380.88 W, 39, 1100.00 W
1788085327876333314,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 380.77 W, 39, 1100.00 W
1788085328102248878,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 380.63 W, 39, 1100.00 W
1788085328329601318,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 382.04 W, 39, 1100.00 W
1788085328555299886,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 382.68 W, 39, 1100.00 W
1788085328780166460,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 383.10 W, 39, 1100.00 W
1788085329007391473,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 383.30 W, 39, 1100.00 W
1788085329233957972,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 383.08 W, 39, 1100.00 W
1788085329460953917,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 381.18 W, 39, 1100.00 W
1788085329686397327,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 381.04 W, 39, 1100.00 W
1788085329911945615,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 380.65 W, 39, 1100.00 W
1788085330137857351,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 380.57 W, 39, 1100.00 W
1788085330368440395,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 380.47 W, 39, 1100.00 W
1788085330599170537,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 380.51 W, 39, 1100.00 W
1788085330829060897,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 356.15 W, 38, 1100.00 W
1788085331056243742,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 324.15 W, 37, 1100.00 W
1788085331286783068,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 294.97 W, 37, 1100.00 W
1788085331515322331,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 265.36 W, 37, 1100.00 W
1788085331743857944,0, GPU-0ff6ec41-3275-1f3d-41d8-8b17413a205a, P0, 2032 MHz, 3996 MHz, 247.49 W, 37, 1100.00 W
