H,samples_per_path,baseline_p50_ms,vshard2_p2_p50_ms,vshard4_p1_p50_ms,vshard4_p2_p50_ms,vshard2_p2_over_vshard4_p2_p50_x,vshard4_p2_faster_than_vshard2_p2,vshard2_p2_p95_ms,vshard4_p2_p95_ms,vshard2_p2_p99_ms,vshard4_p2_p99_ms,extension_sha256,source_json,source_json_sha256
45,500,0.893775999546051,0.6890239715576172,0.7657600045204163,0.7455360293388367,0.9241994275832168,False,0.6948880076408386,0.7508367896080017,0.7082681506872176,0.7570575976371765,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h45_bf16_cyclic.json,085a8eab1bedfecad9083c39a19de81eb6a916e9e88dc1d161a23f2a40a8291a
46,500,0.8963199853897095,0.6910079717636108,0.7677760124206543,0.7457919716835022,0.9265425185575201,False,0.6946592122316361,0.7492560267448425,0.700896664261818,0.7531865805387497,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h46_bf16_cyclic.json,dab9940982a4831cf676afbbcabfc371ddc4273d1e0aaadabda6d4fc0b443838
47,500,0.8994560241699219,0.6943359971046448,0.7710080146789551,0.7506880164146423,0.9249328375066647,False,0.69689921438694,0.7554080128669739,0.7006080073118209,0.7627535963058472,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h47_bf16_cyclic.json,b2387e32f4bc76e0676ce0a8f4b689a06c5a3936f91aa99a9673ee2c79da059b
48,500,0.9012159705162048,0.6965759992599487,0.7738879919052124,0.7529919743537903,0.9250775877893558,False,0.7031056195497513,0.7582095772027969,0.7285923242568969,0.7863123172521591,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h48_bf16_cyclic.json,4d1949473e4b0e15530a78ee8ff636c118d146c83d0bae19401f3cde72168a8f
49,500,0.9047359824180603,0.699999988079071,0.7757440209388733,0.7552319765090942,0.9268675186592048,False,0.7033008068799973,0.758916825056076,0.7095683431625366,0.764321295619011,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h49_bf16_cyclic.json,2be5367a2b23e77beb4289837d9ada7e6286a27f9caf8364642809164d549d04
50,500,0.9074399769306183,0.7021440267562866,0.7795839905738831,0.7582879960536957,0.9259595699924104,False,0.705315214395523,0.7621232211589813,0.7114992010593414,0.768492802977562,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h50_bf16_cyclic.json,9236718d9361b69be98a131917e6d4bf0acfc3d77a150d407eaff5aa64d15a39
51,500,0.9088800251483917,0.7039999961853027,0.7815679907798767,0.7603520154953003,0.9258869337338583,False,0.7075632154941559,0.7640656143426895,0.712105256319046,0.76925696849823,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h51_bf16_cyclic.json,034a11aa9948524e59b636a25a54e2dd61fa677c8fe1abb4892c3b2f1d9c78e2
52,500,0.9133440256118774,0.7083520293235779,0.7860319912433624,0.7649439871311188,0.9260181676572347,False,0.7126751959323883,0.7675568163394928,0.7203567939996719,0.7755036914348602,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h52_bf16_cyclic.json,3deec2e226f3164c2a22a715e1a0ae729172e1fea711633dab01a098e0556df7
53,500,0.9153919816017151,0.7101439833641052,0.7878720164299011,0.7672960162162781,0.925515014226187,False,0.7128367751836777,0.7700480222702026,0.7171904069185256,0.7739199995994568,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h53_bf16_cyclic.json,1138708b62d73e155d538d0220f0de124d8636425ece29da992a98728d72d133
54,500,0.9180799722671509,0.712448000907898,0.7919359803199768,0.7694079875946045,0.9259690728390015,False,0.7163311779499054,0.7726207822561264,0.7196873712539673,0.7759728151559829,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h54_bf16_cyclic.json,81afb6ff57221e21c781f1dc8a1940e993bb6201810d51620112bdb19dfce5e0
55,500,0.9217600226402283,0.7152320146560669,0.7939519882202148,0.7721279859542847,0.9263127715440864,False,0.7169632136821746,0.7745647758245469,0.7219856286048889,0.7790444594621658,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h55_bf16_cyclic.json,05d1ad8fabbb763542c667562504aff20ba57b15cbb682db75cfd37d42a56927
56,500,0.9245759844779968,0.7185279726982117,0.7981439828872681,0.7754560112953186,0.9265876622685346,False,0.7217328250408173,0.7780159711837769,0.726817918419838,0.7820169395208358,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h56_bf16_cyclic.json,140f39f9a4cd14e590b69ce75a5f1c8c113cf31651b8c63c5c4d46cfe08e1f3f
57,500,0.9279999732971191,0.7216480076313019,0.7995040118694305,0.7783359885215759,0.9271677248305696,False,0.7288768142461777,0.7844879776239395,0.7394239902496338,0.7953305810689926,8f8cb97077d2496834d065c7cc1e39980e14e1f9b1665cdfd3aa8ae2dfe3e005,c1_vshard4_p2_b300_sm103a_hs_full_r1_h57_bf16_cyclic.json,9362254272d1f93c1b9aa28596bba831354efcb436a6ce5a1e9b20c78e5a67f8
